Recency,Frequency,Monetary,Segment_Label,R_Next_3Months,Churn
59,9,2377.613772469879,3,1,2
56,9,2301.147592106054,3,1,2
59,3,1047.349432424789,3,1,2
8,12,3352.4763012954522,2,1,2
6,15,3519.530764301795,2,1,2
0,12,3469.517101057595,2,1,2
40,2,698.981737930409,0,1,2
170,3,1145.761725168895,0,1,1
25,12,3479.579007522365,2,1,2
35,8,2061.9453053557445,3,0,0
78,9,2290.2829960580348,3,1,2
2,5,2040.8198665030259,3,1,2
10,16,4458.580473478078,1,1,2
69,5,1489.483802944253,3,0,0
53,4,1205.447562134739,3,0,0
6,6,1559.8179582062498,3,1,2
20,15,4307.896442840482,2,1,2
67,4,1327.312718632602,3,1,2
20,17,4640.462107121953,4,1,2
20,4,1117.1369053872559,3,1,2
23,13,3173.0575806212073,2,1,2
29,9,2125.549758408595,3,1,2
113,3,1210.1325341462,3,1,1
19,10,3031.888349611091,2,1,2
82,3,894.310631092313,0,0,0
15,18,5039.492474075832,4,1,2
30,6,1719.67572864573,3,0,0
150,5,1632.6558389500178,0,1,1
101,4,1187.5424862371349,3,0,3
117,1,88.0245637003629,0,1,1
25,3,959.698969778142,3,1,2
42,7,2061.1727698876994,3,1,2
47,9,2571.034163279251,3,1,2
15,14,4274.003662826572,2,1,2
6,14,3778.346724221752,2,1,2
171,3,821.079013182343,0,1,1
34,6,1879.453150058717,3,1,2
44,9,1778.6303006861415,3,1,2
45,9,1683.7781187509993,3,0,0
0,14,4269.490282820767,2,1,2
74,1,251.569342090246,0,1,2
6,12,3671.722099246616,2,1,2
29,13,3134.253047816247,2,1,2
45,7,1599.713106922379,3,1,2
6,14,4448.514137477694,2,1,2
17,10,2423.449213114674,3,1,2
79,1,291.807007729921,0,0,0
3,9,2418.176938591542,3,1,2
31,7,2481.735314416445,3,1,2
34,8,2207.499247771684,3,1,2
92,1,134.947922315141,0,0,3
13,6,1737.022874712435,3,1,2
17,8,1778.3162229345282,3,1,2
18,6,1803.5507235589669,3,1,2
66,4,1486.278220956123,3,1,2
86,6,988.9042452643192,0,1,2
75,4,1088.689532888241,3,1,2
7,12,2854.718796902236,2,1,2
8,9,3008.083394949955,2,1,2
0,14,3406.732362695354,2,1,2
9,7,1719.5906562907621,3,1,2
157,2,464.4072663854656,0,1,1
19,14,4767.714080184677,1,1,2
22,15,4386.113217918827,2,1,2
3,14,3529.2955780544507,2,1,2
1,15,3570.7420585842174,2,1,2
40,11,2881.342264261265,2,1,2
12,5,1120.880273729122,3,1,2
16,9,2445.919346110854,3,1,2
37,4,890.239928385769,0,1,2
2,8,1733.150711295549,3,1,2
98,5,1292.8901943122542,3,1,1
18,8,1832.6980642581234,3,1,2
47,8,2448.577234127993,3,1,2
17,11,3144.357768202722,2,1,2
18,15,3690.465336154382,2,1,2
84,4,1597.6829690320328,3,1,2
46,4,1219.160092262304,3,1,2
197,3,1109.536613027283,0,0,3
66,6,1134.4367674480545,3,1,2
51,14,4263.830125069644,2,1,2
5,4,779.224989288166,3,1,2
